number,genus,metabolism,treatment,rep,run1,run2,seconds,gas_id,gas_mM
137,Plocamium,nonccm,Low,1,Light1,Light,381,O2,9.336757297
138,Plocamium,nonccm,Low,1,Light1,Light,395,O2,9.654864054
139,Plocamium,nonccm,Low,1,Light1,Light,408,O2,9.392563285
140,Plocamium,nonccm,Low,1,Light1,Light,422,O2,9.04863679
141,Plocamium,nonccm,Low,1,Light1,Light,436,O2,9.292819551
142,Plocamium,nonccm,Low,1,Light1,Light,450,O2,9.806184137
143,Plocamium,nonccm,Low,1,Light1,Light,464,O2,9.422549534
144,Plocamium,nonccm,Low,1,Light1,Light,477,O2,9.220915682
145,Plocamium,nonccm,Low,1,Light1,Light,490,O2,9.684850303
146,Plocamium,nonccm,Low,1,Light1,Light,504,O2,9.367437965
147,Plocamium,nonccm,Low,1,Light1,Light,518,O2,9.636682918
148,Plocamium,nonccm,Low,1,Light1,Light,532,O2,8.903566473
149,Plocamium,nonccm,Low,1,Light1,Light,546,O2,9.148380524
150,Plocamium,nonccm,Low,1,Light1,Light,560,O2,9.652023251
151,Plocamium,nonccm,Low,1,Light1,Light,573,O2,9.502786424
152,Plocamium,nonccm,Low,1,Light1,Light,587,O2,9.458785549
153,Plocamium,nonccm,Low,1,Light1,Light,600,O2,9.535550347
154,Plocamium,nonccm,Low,1,Light1,Light,614,O2,9.843177699
155,Plocamium,nonccm,Low,1,Light1,Light,628,O2,9.751766985
156,Plocamium,nonccm,Low,1,Light1,Light,642,O2,9.458091131
157,Plocamium,nonccm,Low,1,Light1,Light,656,O2,9.467876117
158,Plocamium,nonccm,Low,1,Light1,Light,670,O2,9.859906869
159,Plocamium,nonccm,Low,1,Dark2,Dark,250,O2,8.684509032
160,Plocamium,nonccm,Low,1,Dark2,Dark,263,O2,9.068901181
161,Plocamium,nonccm,Low,1,Dark2,Dark,277,O2,8.957289206
162,Plocamium,nonccm,Low,1,Dark2,Dark,290,O2,8.89655916
163,Plocamium,nonccm,Low,1,Dark2,Dark,303,O2,8.638488031
164,Plocamium,nonccm,Low,1,Dark2,Dark,317,O2,8.699154947
165,Plocamium,nonccm,Low,1,Dark2,Dark,331,O2,8.628008626
166,Plocamium,nonccm,Low,1,Dark2,Dark,345,O2,8.84144759
167,Plocamium,nonccm,Low,1,Dark2,Dark,359,O2,9.091185699
168,Plocamium,nonccm,Low,1,Dark2,Dark,372,O2,8.755655353
169,Plocamium,nonccm,Low,1,Dark2,Dark,385,O2,8.232505782
170,Plocamium,nonccm,Low,1,Dark2,Dark,399,O2,8.568730546
171,Plocamium,nonccm,Low,1,Dark2,Dark,413,O2,8.590320645
172,Plocamium,nonccm,Low,1,Dark2,Dark,427,O2,8.553390212
173,Plocamium,nonccm,Low,1,Dark2,Dark,441,O2,8.321770111
174,Plocamium,nonccm,Low,1,Dark2,Dark,455,O2,8.222026377
175,Plocamium,nonccm,Low,1,Dark2,Dark,468,O2,8.522646415
176,Plocamium,nonccm,Low,1,Dark2,Dark,482,O2,8.60496656
177,Plocamium,nonccm,Low,1,Dark2,Dark,495,O2,8.482938309
178,Plocamium,nonccm,Low,1,Dark2,Dark,509,O2,8.243616476
179,Plocamium,nonccm,Low,1,Dark2,Dark,523,O2,7.952781424
